;Name;Address;Website;Revenue;Nb_employees
0;Microsoft Corporation;One Microsoft WayRedmond, Washington, U.S.;microsoft.com;1,983E+11;221000
1;Salesforce, Inc.;Salesforce TowerSan Francisco, California, U.S.;salesforce.com;26490000000;73542
2;Dataiku;New York City, United States;;150000000;1000
3;HSBC Holdings plc;8 Canada SquareLondon, England, UK;;49552000000;219697
4;BNP Paribas S.A.;Boulevard des Italiens, Paris, France;;46200000000;190000
5;Bouygues S.A.;8th arrondissement, Paris, France;;37590000000;124600
